Source,Target
0,9
0,268
0,1845
0,1940
0,2338
0,2548
0,3674
0,42892
0,82387
9,12
9,22
9,41
9,48
9,163
9,415
9,703
9,930
9,1050
9,1562
9,1845
9,1875
9,1940
9,2023
9,2126
9,3675
9,4194
9,4324
9,4525
9,5689
9,6098
9,13027
9,13334
9,20191
9,20350
9,27151
9,31615
9,37580
9,48148
9,56576
9,58267
9,68255
9,68695
9,96484
9,100324
9,104487
9,163941
9,222640
9,371413
12,9
12,41
12,48
12,415
12,703
12,797
12,930
12,1050
12,1244
12,1530
12,1640
12,1828
12,1845
12,1970
12,1987
12,2275
12,2398
12,2548
12,2719
12,2853
12,3042
12,3285
12,3922
12,3930
12,4807
12,4920
12,5139
12,5689
12,6011
12,6032
12,6098
12,6552
12,7200
12,7669
12,7679
12,9554
12,9624
12,11242
12,13027
12,13334
12,13666
12,13688
12,14347
12,14413
12,16733
12,19458
12,20350
12,20407
12,21376
12,25029
12,25999
12,27420
12,27479
12,27663
12,28423
12,30436
12,31615
12,32404
12,33034
12,33662
12,36021
12,38258
12,39938
12,41959
12,42676
12,43425
12,49926
12,50261
12,50328
12,50911
12,54257
12,56576
12,56824
12,62306
12,64893
12,66544
12,68682
12,68695
12,72408
12,74091
12,75021
12,82905
12,92454
12,95617
12,103900
12,104006
12,109626
12,148679
12,148793
12,177015
12,206400
12,222640
12,379792
22,9
22,12
22,41
22,48
22,154
22,268
22,298
22,415
22,474
22,595
22,930
22,1050
22,1110
22,1151
22,1562
22,1828
22,1940
22,1970
22,1987
22,2014
22,2023
22,3210
22,3674
22,3785
22,4194
22,4324
22,4807
22,5689
22,5933
22,6059
22,6516
22,9624
22,9642
22,10833
22,12888
22,13334
22,13975
22,19519
22,20191
22,20350
22,22116
22,23406
22,27151
22,39140
22,41310
22,42892
22,48148
22,68255
22,96484
41,9
41,12
41,22
41,48
41,163
41,186
41,268
41,474
41,595
41,623
41,930
41,1050
41,1110
41,1530
41,1845
41,1875
41,1940
41,1970
41,2023
41,2338
41,2398
41,2524
41,2548
41,3042
41,3674
41,4194
41,5546
41,5573
41,5689
41,5933
41,6516
41,7679
41,7697
41,9642
41,10222
41,12888
41,13027
41,13334
41,13688
41,14347
41,14887
41,19458
41,20350
41,21091
41,21340
41,22116
41,23965
41,31615
41,34094
41,38258
41,39140
41,39585
41,41636
41,46578
41,48148
41,49428
41,50007
41,50445
41,54230
41,56151
41,56576
41,58609
41,62574
41,82387
41,100324
41,102367
41,129904
41,154404
41,163941
41,200832
41,206900
41,222640
41,273607
41,290581
41,346240
41,365956
48,9
48,12
48,41
48,186
48,415
48,2971
48,3087
48,3210
48,3285
48,3675
48,3783
48,4525
48,5689
48,6098
48,6552
48,7669
48,12602
48,13027
48,13334
48,18203
48,20350
48,24030
48,39677
48,49832
48,50445
48,52267
48,68695
48,129904
48,163941
48,222640
154,9
154,268
154,474
154,1273
154,1940
154,2398
154,2524
154,3574
154,9642
154,23406
163,12
163,41
163,268
163,595
163,1110
163,1175
163,1273
163,1530
163,1940
163,1970
163,2271
163,2398
163,2524
163,3574
163,4194
163,4271
163,6098
163,7052
163,7697
163,7804
163,9129
163,9197
163,9554
163,9642
163,12721
163,13334
163,18888
186,41
186,48
186,903
186,1917
186,3285
186,5933
186,45848
186,49832
186,379792
268,9
268,12
268,22
268,41
268,154
268,163
268,298
268,415
268,474
268,595
268,623
268,703
268,757
268,764
268,903
268,930
268,1050
268,1110
268,1273
268,1344
268,1530
268,1562
268,1828
268,1845
268,1940
268,1970
